frame	position	phase	lumen_area	lumen_circumf	longest_distance	shortest_distance	elliptic_ratio	vector_length	vector_angle	measurement_1	measurement_2	pullback_speed	pullback_start_frame	frame_rate
1575	25.89	-	7.35	11.38	4.90	1.87	2.62	0.39	262.56					
1576	25.90	-	7.34	12.19	5.54	1.79	3.10	0.29	251.73					
1577	25.92	-	7.23	11.96	5.37	1.70	3.16	0.33	253.10					
1578	25.94	-	6.85	11.82	5.36	1.72	3.11	0.17	249.40					
1579	25.95	-	7.19	12.15	5.45	1.65	3.29	0.23	255.48					
1580	25.97	-	6.48	11.27	5.02	1.69	2.97	0.19	266.04					
1581	25.99	-	7.43	12.27	5.50	1.75	3.13	0.32	261.35					
1582	26.00	S	5.01	11.40	5.37	1.25	3.03	0.16	270.80					
1583	26.02	-	6.94	11.86	5.32	1.71	3.11	0.25	277.39					
1584	26.04	-	6.77	11.37	5.01	1.76	2.85	0.11	292.25					
1585	26.05	-	7.02	11.46	5.05	1.70	2.97	0.08	287.29					
1586	26.07	-	7.47	11.75	5.13	1.71	3.00	0.20	277.58					
1587	26.09	D	4.78	10.74	7.80	1.86	3.00	0.42	262.36					
1588	26.10	-	7.53	11.78	5.19	1.82	2.86	0.28	264.71					
1589	26.12	-	7.05	11.70	5.24	1.74	3.02	0.38	263.36					
1590	26.13	-	7.36	12.27	5.50	1.74	3.16	0.31	256.41					
1591	26.15	-	7.98	13.14	5.88	1.72	3.41	0.34	251.94					
1592	26.17	-	7.00	12.31	5.55	1.67	3.32	0.17	255.19					
1593	26.18	-	6.59	11.68	5.28	1.66	3.18	0.05	208.00					
1594	26.20	-	7.13	12.54	5.65	1.67	3.39	0.19	256.14					
1595	26.22	S	4.83	11.17	5.25	1.28	2.89	0.13	91.68					
1596	26.23	-	6.96	11.89	5.32	1.69	3.14	0.05	359.32					
1597	26.25	-	6.21	10.79	4.77	1.67	2.86	0.26	69.13					
1598	26.27	-	6.32	11.48	5.19	1.64	3.17	0.19	49.52					
1599	26.28	-	6.32	10.60	4.66	1.81	2.57	0.32	70.92					
1600	26.30	D	5.66	11.01	7.90	2.29	3.07	0.07	277.87					
1601	26.32	-	7.64	12.17	5.45	1.80	3.03	0.05	307.98					
1602	26.33	-	8.00	12.77	5.56	1.82	3.06	0.24	83.18					
1603	26.35	-	7.58	12.58	5.49	1.71	3.21	0.23	94.70					
1604	26.37	-	8.20	14.06	6.37	1.70	3.75	0.41	87.98					
1605	26.38	-	7.74	13.41	6.02	1.66	3.64	0.52	89.81					
1606	26.40	-	7.11	12.43	5.55	1.61	3.45	0.34	91.18					
1607	26.41	-	7.31	12.48	5.60	1.64	3.41	0.29	94.13					
1608	26.43	-	6.56	11.74	5.31	1.61	3.30	0.22	84.61					
1609	26.45	-	7.28	12.11	5.42	1.66	3.26	0.15	73.12					
1610	26.46	-	6.95	12.01	5.39	1.63	3.30	0.21	70.70					
1611	26.48	-	6.60	12.09	5.53	1.66	3.33	0.23	57.41					
1612	26.50	-	6.27	11.69	5.29	1.66	3.19	0.27	61.43					
1613	26.51	D	5.20	10.54	7.56	2.18	3.10	0.15	53.15					
1614	26.53	-	7.78	12.82	5.87	1.76	3.34	0.18	68.45					
1615	26.55	-	8.36	13.70	6.18	1.85	3.35	0.46	78.30					
1616	26.56	-	8.72	14.42	6.51	1.66	3.93	0.45	90.32					
1617	26.58	-	9.14	14.74	6.56	1.70	3.86	0.49	88.52					
1618	26.60	-	8.58	14.41	6.47	1.57	4.12	0.46	92.38					
1619	26.61	-	8.32	14.36	6.47	1.43	4.53	0.56	90.53					
1620	26.63	-	7.91	14.32	6.65	1.33	5.02	0.52	89.75					
1621	26.64	-	7.60	13.91	6.43	1.33	4.82	0.45	89.66					
1622	26.66	-	7.45	13.80	6.48	1.48	4.39	0.74	81.36					
1623	26.68	-	6.79	12.37	5.69	1.42	4.01	0.83	81.71					
1624	26.69	-	7.00	12.34	5.51	1.60	3.45	0.82	78.83					
1625	26.71	-	8.64	14.35	6.43	1.49	4.32	0.69	83.46					
1626	26.73	-	7.67	13.18	5.80	1.69	3.43	0.75	78.65					
1627	26.74	-	8.52	14.27	6.30	1.54	4.08	0.73	78.92					
1628	26.76	-	8.47	14.04	6.23	1.42	4.38	0.79	86.60					
1629	26.78	-	8.42	14.16	6.34	1.47	4.32	0.61	87.60					
1630	26.79	-	8.07	14.45	6.49	1.24	5.23	1.00	87.09					
1631	26.81	-	7.96	14.06	6.40	1.46	4.38	0.80	86.72					
1632	26.83	-	8.05	14.39	6.48	1.48	4.37	0.78	85.97					
1633	26.84	-	7.96	14.12	6.55	1.33	4.94	0.69	86.81					
1634	26.86	-	8.38	14.14	6.48	1.50	4.33	0.59	79.76					
1635	26.87	-	8.65	14.41	6.45	1.47	4.38	0.58	82.13					
1636	26.89	-	7.96	13.46	5.85	1.42	4.13	0.86	81.19					
1637	26.91	-	8.02	13.69	6.04	1.51	4.01	0.73	78.89					
1638	26.92	-	7.62	13.05	5.77	1.40	4.12	1.02	78.55					
1639	26.94	-	8.44	14.01	6.11	1.54	3.97	0.79	76.44					
1640	26.96	-	8.86	14.59	6.35	1.59	3.98	0.59	79.61					
1641	26.97	-	8.65	14.00	6.26	1.59	3.93	0.68	77.43					
1642	26.99	-	8.59	14.27	6.36	1.34	4.75	0.78	86.37					
1643	27.01	-	8.54	14.43	6.42	1.39	4.63	0.83	85.96					
1644	27.02	-	8.15	14.54	6.63	1.25	5.29	1.06	85.19					
1645	27.04	-	8.71	14.71	6.49	1.39	4.66	0.83	86.80					
1646	27.06	-	7.16	13.09	5.74	1.26	4.57	1.15	88.57					
1647	27.07	-	8.20	14.54	6.57	1.42	4.63	0.93	88.31					
1648	27.09	-	7.90	13.89	6.29	1.46	4.31	0.94	84.41					
1649	27.11	-	8.43	14.29	6.32	1.24	5.11	0.86	82.33					
1650	27.12	-	8.03	14.17	6.34	1.42	4.46	1.06	80.68					
1651	27.14	-	8.11	13.55	5.98	1.30	4.59	0.88	77.88					
